,SessionDate,Task,Clustered,SummaryDate,nCells,nMua,BestTT
Li_OF_060118,1,0,0,0,0,0,0
Li_OF_060418,0,0,0,0,0,0,0
Li_OF_060518,0,0,0,0,0,0,0
Li_OF_060718,0,0,0,0,0,0,0
Li_OF_060818,0,0,0,0,0,0,0
Li_OF_061118,0,0,0,0,0,0,0
Li_OF_061218,0,0,0,0,0,0,0
Li_OF_061318,0,0,0,0,0,0,0
Li_OF_061418,0,0,0,0,0,0,0
Li_OF_061518,0,0,0,0,0,0,0
Li_OF_061818,0,0,0,0,0,0,0
Li_OF_062018,0,0,0,0,0,0,0
Li_OF_062518,0,0,0,0,0,0,0
Li_OF_062618,0,0,0,0,0,0,0
Li_OF_062718,0,0,0,0,0,0,0
Li_OF_062818,0,0,0,0,0,0,0
Li_OF_062918,0,0,0,0,0,0,0
Li_OF_070218,0,0,0,0,0,0,0
Li_OF_070618,0,0,0,0,0,0,0
Li_OF_071018,0,0,0,0,0,0,0
Li_OF_080118,0,0,0,0,0,0,0
Li_OF_080218,0,0,0,0,0,0,0
Li_T3g_060118,0,0,0,0,0,0,0
Li_T3g_060418,0,0,0,0,0,0,0
Li_T3g_061318,0,0,0,0,0,0,0
Li_T3g_061518,0,0,0,0,0,0,0
Li_T3g_061818,0,0,0,0,0,0,0
Li_T3g_062018,0,0,0,0,0,0,0
Li_T3g_062518,0,0,0,0,0,0,0
Li_T3g_062618,0,0,0,0,0,0,0
Li_T3g_062718,0,0,0,0,0,0,0
Li_T3g_062818,0,0,0,0,0,0,0
Li_T3g_070218,0,0,0,0,0,0,0
Li_T3g_070518,0,0,0,0,0,0,0
Li_T3g_070618,0,0,0,0,0,0,0
Li_T3g_070918,0,0,0,0,0,0,0
Li_T3g_071018,0,0,0,0,0,0,0
Li_T3g_071118,0,0,0,0,0,0,0
Li_T3g_072518,0,0,0,0,0,0,0
Li_T3g_072618,0,0,0,0,0,0,0
Li_T3g_073018,0,0,0,0,0,0,0
Li_T3g_080118,0,0,0,0,0,0,0
Li_T3g_080218,0,0,0,0,0,0,0
Li_T3g_080318,0,0,0,0,0,0,0
